timestamp,sampleHour,domain,slot,port,sensor,avg_power_W,avg_voltage_V,avg_current_A,port_status
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,1,GPSWaves,0.63,12.95,0.04,1
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,2,Iridium,2.04,12.84,0.15,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,3,SMC,2.82,12.94,0.21,1
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,4,CR6,1.68,12.94,0.13,1
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,5,,0.0,0.0,0.0,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,6,,0.0,0.0,0.0,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,7,ADCP,0.04,48.11,0.0,32769
2026-08-12 00:08:37,2026-08-12 00:00:00,7,1,8,,0.0,0.0,0.0,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,5,1,SPN1 Heater,0.0,0.0,0.0,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,5,2,SPN1,0.2,13.58,0.01,1
2026-08-12 00:08:37,2026-08-12 00:00:00,7,5,3,Vaisala WXT530 Heater,0.0,0.0,0.0,0
2026-08-12 00:08:37,2026-08-12 00:00:00,7,5,4,Vaisala WXT530,0.27,13.5,0.02,1
2026-08-12 01:08:35,2026-08-12 01:00:00,6,1,1,GPSWaves,0.67,12.88,0.05,1
2026-08-12 01:08:35,2026-08-12 01:00:00,6,1,5,,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,1,GPSWaves,0.63,12.85,0.04,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,2,Iridium,1.98,12.83,0.15,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,3,SMC,2.74,12.84,0.21,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,4,CR6,1.68,12.85,0.13,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,5,,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,6,,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,7,ADCP,0.05,48.11,0.0,32769
2026-08-12 01:08:37,2026-08-12 01:00:00,7,1,8,,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,1,SPN1 Heater,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,2,SPN1,0.2,13.49,0.01,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,3,Vaisala WXT530 Heater,0.0,0.0,0.0,0
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,4,Vaisala WXT530,0.27,13.51,0.02,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,5,RBR CTD,0.48,13.5,0.03,1
2026-08-12 01:08:37,2026-08-12 01:00:00,7,5,6,Gill R3-50,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,1,Airmar WS200,1.03,13.44,0.07,1
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,2,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,3,lightBar,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,4,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,5,airmarWaterspeedDevice,0.66,13.41,0.05,1
2026-08-12 02:08:24,2026-08-12 02:00:00,1,4,6,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,1,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,2,pCO2,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,3,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,4,AIS,1.35,13.45,0.1,1
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,5,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,7,6,,0.0,0.0,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,13,1,,0.04,12.82,0.0,1
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,1,CCU: UNKNOWN,0.37,12.82,0.02,32769
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,2,,0.2,12.81,0.01,32769
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,3,VMC,4.71,12.83,0.36,32769
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,106,CCU: Tegra TX1 SOM module,1.88,12.78,0.15,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,107,,0.03,5.03,0.0,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,108,"CCU: mSATA Drive, SDCARD, discrete ICs",0.13,3.29,0.04,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,110,"CCU: UARTs, HS/LS USB Hubs, Ethernet",1.38,3.4,0.41,0
2026-08-12 02:08:24,2026-08-12 02:00:00,1,32,111,,0.0,0.0,0.0,0
2026-08-12 02:08:35,2026-08-12 02:00:00,6,1,1,GPSWaves,0.67,12.81,0.05,1
2026-08-12 02:08:35,2026-08-12 02:00:00,6,1,5,,0.0,0.0,0.0,0
2026-08-12 02:08:36,2026-08-12 02:00:00,7,1,1,GPSWaves,0.63,12.78,0.04,1
2026-08-12 02:08:36,2026-08-12 02:00:00,7,1,2,Iridium,1.91,12.75,0.15,0
2026-08-12 02:08:36,2026-08-12 02:00:00,7,1,3,SMC,2.74,12.77,0.21,1
