glider_time,sensor_time,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Status Flags,Enclosure Press Ave,Enclosure Temp Ave,Enclosure RH Ave,PCB Temp Ave,Zero Temp Ave,Zero Temp SD,Zero Press Ave,Zero Press SD,Zero CO2 Ave,Zero CO2 SD,Zero RH Ave,Zero RH SD,Zero RH Temp Ave,Zero RH Temp SD,Zero Raw 1,Zero Raw 2,Span Pump On Temp Ave,Span Pump On Temp SD,Span Pump On Press Ave,Span Pump On Press SD,Span Pump On CO2 Ave,Span Pump On CO2 SD,Span Pump On RH Ave,Span Pump On RH SD,Span Pump On RH Temp Ave,Span Pump On RH Temp SD,Span Pre Temp Ave,Span Pre Temp SD,Span Pre Press Ave,Span Pre Press SD,Span Pre CO2 Ave,Span Pre CO2 SD,Span Pre RH Ave,Span Pre RH SD,Span Pre RH Temp Ave,Span Pre RH Temp SD,Span Pre Raw 1,Span Pre Raw 2,Span Post Temp Ave,Span Post Temp SD,Span Post Press Ave,Span Post Press SD,Span Post CO2 Ave,Span Post CO2 SD,Span Post RH Ave,Span Post RH SD,Span Post RH Temp Ave,Span Post RH Temp SD,Span Post Raw 1,Span Post Raw 2,EQ Pump On Temp Ave,EQ Pump On Temp SD,EQ Pump On Press Ave,EQ Pump On Press SD,EQ Pump On CO2 Ave,EQ Pump On CO2 SD,EQ Pump On RH Ave,EQ Pump On RH SD,EQ Pump On RH Temp Ave,EQ Pump On RH Temp SD,EQ Temp Ave,EQ Temp SD,EQ Press Ave,EQ Press SD,EQ CO2 Ave,EQ CO2 SD,EQ RH Ave,EQ RH SD,EQ RH Temp Ave,EQ RH Temp SD,EQ Raw 1,EQ Raw 2,Air Pump On Temp Ave,Air Pump On Temp SD,Air Pump On Press Ave,Air Pump On Press SD,Air Pump On CO2 Ave,Air Pump On CO2 SD,Air Pump On RH Ave,Air Pump On RH SD,Air Pump On RH Temp Ave,Air Pump On RH Temp SD,Air Temp Ave,Air Temp SD,Air Press Ave,Air Press SD,Air CO2 Ave,Air CO2 SD,Air RH Ave,Air RH SD,Air RH Temp Ave,Air RH Temp SD,Air Raw 1,Air Raw 2,Zero Cal K,Span Cal K,Ocean CO2 Ave,Atmosphere CO2 Ave,PH Int,PH Ext,FET Temp,FET Voltage Int,FET Voltage Ext,Voltage Thermistor,Supply Voltage,Supply Current,Enclosure RH,SeaFET Status,CTD Temp,CTD Conductivity,O2 Phase Delay,O2 Therm Voltage,O2 Calculated,O2 Temp
2026-07-03 09:30:55,03-07-2026 08:57:50,2026,7,3,8,57,50,-3828.5408,1132.7808,1536,100.53,17.76,62.6,23.0,31.67,0.361,105.94,0.01,0.88,0.17,11.6,0.12,14.98,0.031,4150724,5434011,37.36,0.316,108.3,0.02,516.3,0.66,10.2,0.08,15.57,0.044,38.91,0.312,101.39,0.01,521.65,0.7,12.2,0.83,15.91,0.071,3682487,5387422,40.1,0.303,101.4,0.0,523.3,0.72,14.9,0.59,16.14,0.057,3676946,5378953,51.42,0.004,96.84,0.01,436.06,0.58,7.0,0.03,22.07,0.037,51.42,0.003,101.43,0.0,433.28,0.51,9.0,0.42,22.8,0.074,3679543,5292870,46.44,0.253,97.05,0.01,442.46,10.25,9.3,0.05,17.19,0.055,47.94,0.25,101.42,0.01,447.99,0.48,12.1,0.63,17.75,0.08,3690895,5325773,1.02,0.7,432.82,447.77,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 09:55:30,03-07-2026 09:26:03,2026,7,3,9,26,3,-3828.5472,1132.5024,0,101.39,20.04,65.3,25.4,51.42,0.003,105.7,0.0,0.79,0.27,6.7,0.03,23.23,0.026,4043456,5294071,51.42,0.003,107.3,0.01,530.48,0.49,6.5,0.03,23.56,0.022,51.42,0.003,101.45,0.0,532.87,0.57,7.5,0.38,24.34,0.114,3622626,5294311,51.42,0.003,101.45,0.0,531.05,0.52,9.1,0.29,24.63,0.043,3622615,5294047,51.42,0.003,96.6,0.01,432.79,0.58,6.0,0.03,25.7,0.017,51.42,0.004,101.47,0.0,430.76,0.54,7.1,0.23,26.44,0.064,3681154,5295647,51.42,0.003,96.62,0.01,434.81,2.07,6.4,0.03,24.36,0.02,51.42,0.004,101.45,0.0,431.35,0.44,7.8,0.3,25.09,0.067,3680212,5294668,1.309615,0.987404,430.5,431.18,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 10:08:51,03-07-2026 09:54:32,2026,7,3,9,54,32,-3828.5504,1132.4928,0,101.66,20.76,65.4,26.2,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,51.42,0.003,96.54,0.01,433.35,0.61,5.9,0.02,26.52,0.018,51.43,0.003,101.48,0.0,432.12,0.54,6.9,0.21,27.23,0.061,3680806,5296367,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,1.309615,0.987404,431.82,-50.0,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 11:19:53,03-07-2026 11:08:02,2026,7,3,11,8,2,-3828.608,1131.9232,0,102.92,24.14,64.0,29.7,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,51.43,0.004,96.24,0.01,432.28,0.55,5.8,0.03,29.61,0.014,51.43,0.004,101.42,0.0,430.21,0.53,6.4,0.15,30.25,0.056,3681058,5295224,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,1.309862,0.988305,430.07,-50.0,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 11:27:53,03-07-2026 10:53:02,2026,7,3,10,53,2,-3828.5824,1132.1472,0,102.71,23.64,64.3,29.2,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,51.43,0.004,96.3,0.01,432.79,0.63,5.7,0.03,29.1,0.016,51.43,0.004,101.45,0.0,429.62,0.46,6.4,0.15,29.75,0.052,3681351,5295307,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,1.309862,0.988305,429.48,-50.0,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 11:29:23,03-07-2026 10:24:33,2026,7,3,10,24,33,-3828.5528,1132.5024,0,102.52,23.14,64.7,28.7,51.42,0.004,105.55,0.0,0.59,0.26,5.8,0.02,27.73,0.012,4045274,5297365,51.43,0.005,106.66,0.01,528.31,0.59,5.8,0.02,27.78,0.015,51.43,0.004,101.49,0.01,530.32,0.55,6.3,0.22,28.53,0.104,3624219,5297174,51.43,0.004,101.49,0.0,530.75,0.47,7.3,0.18,28.77,0.027,3624247,5296957,51.43,0.004,96.36,0.01,433.01,0.65,5.8,0.02,28.67,0.016,51.43,0.005,101.46,0.0,430.83,0.5,6.5,0.16,29.34,0.059,3681907,5297239,51.43,0.004,96.34,0.01,437.47,3.17,5.8,0.03,28.17,0.014,51.43,0.004,101.48,0.0,435.15,0.59,6.6,0.18,28.85,0.057,3679105,5297069,1.309862,0.988305,430.69,435.04,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 13:49:50,03-07-2026 13:20:02,2026,7,3,13,20,2,-3827.0352,1133.856,0,102.99,25.16,61.5,31.0,51.43,0.004,105.54,0.0,0.26,0.72,5.7,0.03,29.96,0.013,4043087,5296248,51.43,0.004,106.39,0.01,528.73,1.48,5.7,0.03,29.91,0.012,51.43,0.005,101.49,0.02,530.85,1.41,6.0,0.13,30.47,0.077,3622826,5295912,51.43,0.005,101.46,0.03,531.13,1.46,6.6,0.12,30.63,0.019,3623026,5295827,51.43,0.005,95.48,0.1,379.2,1.49,5.7,0.03,30.08,0.012,51.43,0.004,101.47,0.07,376.61,1.17,6.3,0.09,30.58,0.039,3714090,5295804,51.43,0.005,96.2,0.01,428.88,1.48,5.7,0.03,30.07,0.012,51.43,0.005,101.51,0.04,426.21,1.95,6.2,0.11,30.57,0.042,3682904,5295640,1.310353,0.99065,376.56,426.14,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 14:02:51,03-07-2026 13:48:32,2026,7,3,13,48,32,-3826.6256,1134.6976,0,103.0,25.19,61.3,31.1,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,51.43,0.004,96.56,0.74,379.46,3.28,5.7,0.03,30.1,0.012,51.43,0.005,101.49,0.04,377.25,1.62,6.2,0.1,30.6,0.043,3713595,5295755,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,1.310353,0.99065,377.18,-50.0,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 14:17:46,03-07-2026 14:03:32,2026,7,3,14,3,32,-3826.6144,1134.672,0,103.0,25.15,61.1,31.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,51.43,0.005,96.54,0.25,379.4,2.29,5.7,0.03,30.11,0.012,51.43,0.004,101.52,0.05,377.05,1.37,6.2,0.09,30.61,0.041,3713559,5295687,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,-20.0,0.0,20.0,0.0,-50.0,0.0,-5.0,0.0,-4.0,0.0,0,0,1.310353,0.99065,376.98,-50.0,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
2026-07-03 15:48:02,03-07-2026 15:17:02,2026,7,3,15,17,2,-3826.6112,1134.6656,0,102.98,25.22,59.9,31.1,51.43,0.004,105.55,0.0,0.28,0.6,5.6,0.02,30.03,0.01,4042343,5295933,51.43,0.004,106.39,0.01,528.74,1.36,5.7,0.02,29.98,0.012,51.43,0.004,101.54,0.02,530.78,1.7,5.9,0.11,30.53,0.074,3622133,5295701,51.43,0.005,101.52,0.02,531.02,1.58,6.4,0.1,30.69,0.018,3622313,5295483,51.43,0.005,96.37,0.2,375.8,1.71,5.7,0.03,30.12,0.011,51.43,0.004,101.55,0.04,373.64,1.53,6.1,0.08,30.62,0.041,3715293,5295585,51.43,0.005,96.08,0.01,429.17,1.19,5.6,0.03,30.13,0.012,51.43,0.004,101.54,0.03,426.4,1.26,6.1,0.1,30.63,0.04,3682279,5295505,1.310459,0.990649,373.59,426.34,0,0,-5,-21.474836,-21.474836,-21.474836,0,0,0,0,0,0,0,0,0,0
