timeStamp,latitude,longitude,significant_wave_height_m,average_wave_period_s,peak_wave_period_s,peak_wave_direction_deg,n_samples,sampling_frequency_hz,sample_gaps
2026-07-03 11:00:00,-38.47657,11.53408,0.7690631855756835,8.346078867851597,8.827586206896552,190.49452301849038,4799,4.0,1
2026-07-03 11:20:00,-38.47709,11.529465,0.815449208370185,8.642938470548968,8.258064516129032,199.12323449412673,4799,4.0,1
2026-07-03 13:40:00,-38.4457766666667,11.57116,2.2919634822721657,6.582860103043477,7.757575757575758,267.28982680822094,4799,4.0,1
2026-07-03 16:40:00,-38.44457,11.5780583333333,2.265860867161443,7.019786343212321,12.19047619047619,93.7194333759881,4793,4.0,7
2026-07-03 17:00:00,-38.4446183333333,11.5777666666667,2.123144985463757,6.674120238368655,7.757575757575758,274.2473366600044,4793,4.0,7
2026-07-03 17:20:00,-38.4435333333333,11.577665,2.0382236101693714,6.67241292086948,6.918918918918919,285.2206078972841,4796,4.0,4
2026-07-03 17:40:00,-38.44435,11.578465,2.2857198614709873,7.407176320732818,6.564102564102564,285.8498426162573,4796,4.0,4
2026-07-03 18:00:00,-38.4445216666667,11.5780966666667,2.0934104429669196,6.7725796504382245,6.918918918918919,277.64274880351934,4796,4.0,4
2026-07-03 18:20:00,-38.444545,11.577155,1.9909612696564005,6.687757660270704,6.918918918918919,277.0099789917381,4793,4.0,7
2026-07-03 18:40:00,-38.444095,11.57849,2.4131098934783544,7.49953491797241,12.19047619047619,102.44068077215616,4793,4.0,7
2026-07-03 19:00:00,-38.4446683333333,11.57791,2.3756007313922605,7.666207190811682,6.918918918918919,275.7462033920432,4790,4.0,10
2026-07-03 19:20:00,-38.44373,11.5781233333333,2.1682600663393043,7.34505008046263,7.757575757575758,271.70530318349836,4793,4.0,7
2026-07-03 19:40:00,-38.444645,11.577285,2.3497700189262485,7.68103535166262,11.130434782608695,,4793,4.0,7
2026-07-03 20:00:00,-38.4446333333333,11.5776966666667,2.1884388179952294,7.74221393314661,11.130434782608695,111.40242890369916,4793,4.0,7
